level,model,condition,outer_seed,folds_total,folds_with_ac,folds_with_auroc,ac_auroc,auroc,eligible_pairs,positives,negatives,participating_positives,participating_negatives,ac_repeat_min,ac_repeat_max,ac_repeat_sd
repeat,p3_demo10,same_site,29,3,3,3,0.5972716303072262,0.778174566373873,310.3333333333333,17.666666666666668,226.66666666666666,16.333333333333332,148.66666666666666,N/A,N/A,N/A
repeat,p3_demo10,cross_site,29,3,3,3,0.5314366514311909,0.7827379516789467,145.66666666666666,17.666666666666668,226.66666666666666,15.666666666666666,82.0,N/A,N/A,N/A
repeat,p3_demo10,site_I0002,29,3,0,0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A
repeat,p3_demo10,site_I0006,29,3,3,3,0.46994671994671994,0.7826536930561699,18.333333333333332,4.333333333333333,35.666666666666664,3.3333333333333335,11.0,N/A,N/A,N/A
repeat,p3_demo10,site_S0001,29,3,3,3,0.6013110959060327,0.7758860082974613,292.0,13.333333333333334,191.0,13.0,137.66666666666666,N/A,N/A,N/A
repeat,p3_compact30,overall,29,3,3,3,0.6369508375926966,0.7937618020577663,456.0,17.666666666666668,226.66666666666666,17.333333333333332,172.66666666666666,N/A,N/A,N/A
repeat,p3_compact30,same_site,29,3,3,3,0.5937831433116797,0.7787366394092051,310.3333333333333,17.666666666666668,226.66666666666666,16.333333333333332,148.66666666666666,N/A,N/A,N/A
repeat,p3_compact30,cross_site,29,3,3,3,0.7194127600479985,0.8212549453060408,145.66666666666666,17.666666666666668,226.66666666666666,15.666666666666666,82.0,N/A,N/A,N/A
repeat,p3_compact30,site_I0002,29,3,0,0,N/A,N/A,0.0,0.0,0.0,0.0,0.0,N/A,N/A,N/A
repeat,p3_compact30,site_I0006,29,3,3,3,0.7937062937062938,0.8644493586908447,18.333333333333332,4.333333333333333,35.666666666666664,3.3333333333333335,11.0,N/A,N/A,N/A
repeat,p3_compact30,site_S0001,29,3,3,3,0.5824575208119512,0.7739952662835557,292.0,13.333333333333334,191.0,13.0,137.66666666666666,N/A,N/A,N/A
repeat,p3_compact35,overall,29,3,3,3,0.6269938579818334,0.7906131818687872,456.0,17.666666666666668,226.66666666666666,17.333333333333332,172.66666666666666,N/A,N/A,N/A
repeat,p3_compact35,same_site,29,3,3,3,0.580499350022832,0.7757525541154386,310.3333333333333,17.666666666666668,226.66666666666666,16.333333333333332,148.66666666666666,N/A,N/A,N/A
repeat,p3_compact35,cross_site,29,3,3,3,0.7177543852552953,0.8175509761490938,145.66666666666666,17.666666666666668,226.66666666666666,15.666666666666666,82.0,N/A,N/A,N/A
